date,case,full_vac_rate
2021-02-15,2858,0.05214369521784514
2021-02-16,3724,0.05512523014610089
2021-02-17,3438,0.05759325957299877
2021-02-18,2047,0.06039204060793781
2021-02-19,3018,0.06307610353706587
2021-02-20,2494,0.06601209196984617
2021-02-21,2287,0.0679779741236843
2021-02-22,3615,0.06930109413813196
2021-02-23,3474,0.07088931520105768
2021-02-24,3461,0.0731658448988493
2021-02-25,3480,0.07656116008400546
2021-02-26,3239,0.08012298689601201
2021-02-27,2016,0.08265519031279425
2021-02-28,2038,0.08420252175384675
2021-03-01,3727,0.0855999245813641
2021-03-02,3109,0.08696472929366586
2021-03-03,3242,0.08874399575656591
2021-03-04,3118,0.09128233261662913
2021-03-05,2886,0.0939994479901047
2021-03-06,2044,0.09611037471930978
2021-03-07,1877,0.09777878487402021
2021-03-08,3399,0.09941448333123207
2021-03-09,3340,0.10081824676659636
2021-03-10,3203,0.10248938289609834
2021-03-11,3106,0.10490073476378861
2021-03-12,3202,0.10827640021398902
2021-03-13,2175,0.11127429099099406
2021-03-14,1923,0.11305980447945807
2021-03-15,3392,0.11494470246553061
2021-03-16,3196,0.11719056494691732
2021-03-17,3171,0.1199204015360868
2021-03-18,2916,0.12288467195732941
2021-03-19,3049,0.12620593149398185
2021-03-20,2158,0.1290830843041779
2021-03-21,2090,0.13123342408557742
2021-03-22,3881,0.13418860792418155
2021-03-23,3250,0.1378289200937281
2021-03-24,3453,0.1420010245121925
2021-03-25,3798,0.1476474269637525
2021-03-26,3418,0.15382323643628773
2021-03-27,2223,0.15890433986545044
2021-03-28,1751,0.16271570695316662
2021-03-29,3557,0.1669957145404631
2021-03-30,3187,0.17165599561118058
2021-03-31,3186,0.17662976378292608
2021-04-01,2866,0.18267518079459893
2021-04-02,2619,0.18871650884408447
2021-04-03,2050,0.19310339735966625
2021-04-04,1467,0.19584254769604018
2021-04-05,3270,0.1996816288608038
2021-04-06,3003,0.20362679587787177
2021-04-07,2764,0.20816861062743988
2021-04-08,2571,0.2133751088970138
2021-04-09,2469,0.2183796578674472
2021-04-10,1723,0.22240126576096153
2021-04-11,1315,0.22566312176361483
2021-04-12,2533,0.2292459612979729
2021-04-13,2362,0.23304585657510798
2021-04-14,2241,0.23754212482920065
2021-04-15,2015,0.24245955618858747
2021-04-16,1836,0.24722478728877956
2021-04-17,1275,0.25125570892949833
2021-04-18,1056,0.254581625339753
2021-04-19,1881,0.25869057800887985
2021-04-20,1604,0.26316435697094226
2021-04-21,1416,0.2683533635689371
2021-04-22,1361,0.2738751662560667
2021-04-23,1289,0.27887698925170856
2021-04-24,852,0.2835766833746205
2021-04-25,757,0.287114657907201
2021-04-26,1368,0.2917097427474873
2021-04-27,1138,0.297025961502421
2021-04-28,1215,0.30343949869323583
2021-04-29,1056,0.30989233535396216
2021-04-30,963,0.31575272682665867
2021-05-01,577,0.32078146882336706
2021-05-02,569,0.3249315382789331
2021-05-03,935,0.33092073206053024
2021-05-04,877,0.3373204122128214
2021-05-05,780,0.34282915293740823
2021-05-06,785,0.34849395571881114
2021-05-07,715,0.3543799032051784
2021-05-08,383,0.3591126497724379
2021-05-09,343,0.3624462897779353
2021-05-10,654,0.36679535539328434
2021-05-11,629,0.3716601981556509
2021-05-12,595,0.37624085804599855
2021-05-13,516,0.3808101597080481
2021-05-14,486,0.3856578515456845
2021-05-15,292,0.38960597170211003
2021-05-16,279,0.39180322096638076
2021-05-17,453,0.39508915641302605
2021-05-18,415,0.39869664330279103
2021-05-19,377,0.40205856529675077
2021-05-20,395,0.4054570607858304
2021-05-21,349,0.40906750081495286
2021-05-22,233,0.4118244835697549
2021-05-23,187,0.41337885711235217
2021-05-24,355,0.4159938620134277
2021-05-25,305,0.4186352180041548
2021-05-26,249,0.4210177199719679
2021-05-27,257,0.42341510121885145
2021-05-28,210,0.42600205129603064
2021-05-29,126,0.4280183639835124
2021-05-30,120,0.42903276735281726
2021-05-31,118,0.42981409987744473
2021-06-01,288,0.4326614941294997
2021-06-02,242,0.43496698730945155
2021-06-03,206,0.4376600232389351
2021-06-04,224,0.4405943079374707
2021-06-05,142,0.44309027860598194
2021-06-06,130,0.44472734005058956
2021-06-07,219,0.44718560140115104
2021-06-08,176,0.44989885497700527
2021-06-09,211,0.452500570750972
2021-06-10,155,0.45501142069855377
2021-06-11,189,0.4578497283679703
2021-06-12,121,0.460035051492528
2021-06-13,113,0.4612741206175696
2021-06-14,180,0.46344774476698025
2021-06-15,179,0.4658229774686825
2021-06-16,175,0.46801875016327454
2021-06-17,187,0.4701416030321926
2021-06-18,158,0.47222981330480146
2021-06-19,107,0.4737612432262366
2021-06-20,97,0.4745746059546648
2021-06-21,169,0.4757054311640253
2021-06-22,171,0.477474815968306
2021-06-23,186,0.4791893405299068
2021-06-24,175,0.48085207157046816
2021-06-25,181,0.48247652538166486
2021-06-26,118,0.483658121871518
2021-06-27,109,0.48433688959461346
2021-06-28,205,0.485503947552245
2021-06-29,212,0.48689714783529203
2021-06-30,225,0.4881319008335804
2021-07-01,204,0.4893654044267559
2021-07-02,232,0.4906561534905539
2021-07-03,144,0.49160979033846386
2021-07-04,120,0.4917607411925458
2021-07-05,185,0.4925645630092036
2021-07-06,360,0.4940135321931944
2021-07-07,397,0.49526793492643845
2021-07-08,367,0.4964203407695654
2021-07-09,369,0.4976429404635747
2021-07-10,236,0.49862020242634475
2021-07-11,267,0.4991346165859665
2021-07-12,473,0.5002134211097217
2021-07-13,456,0.5012737117213508
2021-07-14,544,0.5023517211691252
2021-07-15,548,0.5033860014379518
2021-07-16,552,0.5044905891399436
2021-07-17,340,0.505326441160402
2021-07-18,387,0.5058121190024295
2021-07-19,805,0.5067685954074139
2021-07-20,704,0.5077586921681608
2021-07-21,890,0.5087481074352098
2021-07-22,967,0.5097145790810966
2021-07-23,911,0.5107184192980843
2021-07-24,550,0.5114820329865666
2021-07-25,631,0.5117220323505058
2021-07-26,1217,0.5125118835463569
2021-07-27,1197,0.5134816490784502
2021-07-28,1239,0.5143898530131676
2021-07-29,1283,0.5152294532489644
2021-07-30,1274,0.5161348176266073
2021-07-31,846,0.5168492501865589
2021-08-01,823,0.5172240717203967
2021-08-02,1560,0.5180318689169588
2021-08-03,1571,0.5189765327645133
2021-08-04,1600,0.5198934825350202
2021-08-05,1521,0.5207871479375161
2021-08-06,1568,0.521734764924428
2021-08-07,1141,0.5224148956349193
2021-08-08,1065,0.5228487799559074
2021-08-09,1882,0.5238107083104749
2021-08-10,1660,0.5248629345800124
2021-08-11,1747,0.5258024872248327
2021-08-12,1755,0.5268151868598928
2021-08-13,1596,0.5278600302810367
2021-08-14,1039,0.5285838901704757
2021-08-15,1137,0.5290897856588738
2021-08-16,1918,0.530138036548507
2021-08-17,1735,0.5313181564686814
2021-08-18,1811,0.5324873724896896
2021-08-19,1682,0.5335617473044084
2021-08-20,1547,0.5348664669890132
2021-08-21,1082,0.5357771697339562
2021-08-22,715,0.5362199134730168
2021-08-23,1944,0.5375506435004243
2021-08-24,1826,0.5389733751770464
2021-08-25,1767,0.5403783880175235
2021-08-26,1632,0.5419683128146939
2021-08-27,1438,0.5436428564126853
2021-08-28,976,0.5449443957933666
2021-08-29,979,0.5457947863460466
2021-08-30,1828,0.547704672434375
2021-08-31,1618,0.5495060874424563
2021-09-01,1551,0.5510963529864757
2021-09-02,1425,0.5525103388273084
2021-09-03,1411,0.5541258196381496
2021-09-04,901,0.5551900856296832
2021-09-05,944,0.5558145610215136
2021-09-06,940,0.5563246590543821
2021-09-07,1560,0.5583230257411528
2021-09-08,1581,0.5599965470985974
2021-09-09,1707,0.5616600732151396
2021-09-10,1537,0.5633948154231111
2021-09-11,1033,0.5645668710011937
2021-09-12,1208,0.565138757796004
2021-09-13,1723,0.5666019247653674
2021-09-14,1636,0.5681460759024964
2021-09-15,1603,0.5695932277699596
2021-09-16,1384,0.5711637299967401
2021-09-17,1518,0.5727372989451613
2021-09-18,946,0.5738893640414393
2021-09-19,1051,0.5745760825243436
2021-09-20,1632,0.5760046068973977
2021-09-21,1283,0.5774478969672394
2021-09-22,1405,0.5787988446410175
2021-09-23,1275,0.5802367963435592
2021-09-24,1217,0.581745169061549
2021-09-25,802,0.5827662737855498
2021-09-26,848,0.5834180089252958
2021-09-27,1374,0.584327462265126
2021-09-28,1109,0.5856542169126291
2021-09-29,1089,0.5870296983595311
2021-09-30,1126,0.5884507263019085
2021-10-01,1079,0.5899646645517646
2021-10-02,666,0.5910931045331825
2021-10-03,890,0.591790386168404
2021-10-04,1258,0.593033089926501
2021-10-05,1267,0.5943598445740039
2021-10-06,1139,0.5956047063954776
2021-10-07,1073,0.596971555588873
2021-10-08,1009,0.598335338060628
2021-10-09,611,0.5992680757684693
2021-10-10,682,0.5998347377782624
2021-10-11,933,0.6008869640478
2021-10-12,1133,0.6021260331728415
2021-10-13,1103,0.6032609473443894
2021-10-14,1022,0.604500470798563
2021-10-15,873,0.6058351762058747
2021-10-16,484,0.6066761394290673
2021-10-17,581,0.6071818077528994
2021-10-18,853,0.6083796465092189
2021-10-19,787,0.6093845089667533
2021-10-20,791,0.6104309425398589
2021-10-21,805,0.6114745365558899
2021-10-22,679,0.612632167184034
2021-10-23,441,0.6133595481242454
2021-10-24,438,0.6138064944077763
2021-10-25,880,0.6147886404087145
2021-10-26,593,0.6156485718731649
2021-10-27,754,0.6165883516825511
2021-10-28,726,0.6174803133508023
2021-10-29,631,0.6183999890961008
2021-10-30,392,0.6189708536503642
2021-10-31,444,0.6192760492447346
2021-11-01,769,0.6200561323642493
2021-11-02,795,0.6207898739123077
2021-11-03,811,0.6215204351564425
2021-11-04,890,0.6222103339432702
2021-11-05,763,0.6229659968719439
2021-11-06,486,0.6234218025735474
2021-11-07,533,0.6236759997228593
2021-11-08,1105,0.6243032010894812
2021-11-09,1008,0.6248951919483792
2021-11-10,1015,0.6254863877312962
2021-11-11,837,0.6260632721465574
2021-11-12,978,0.6266900191840475
2021-11-13,590,0.627091646136669
2021-11-14,656,0.6273475470202255
2021-11-15,1142,0.6279932622989736
2021-11-16,1001,0.6285259632061553
